title,total_sales,Publisher,Developer,Platform,Japan_sales,Na_sales,Other_sales,Pal_sales
Grand Theft Auto: Vice City,16.15,Rockstar Games,Rockstar North,Play Station ,0.47,8.41,1.78,5.49
Grand Theft Auto V,15.86,Rockstar Games,Rockstar North,X box,0.06,9.06,1.42,5.33
Call of Duty: Black Ops 3,15.09,Activision,Treyarch,Play Station ,0.41,6.18,2.44,6.05
Grand Theft Auto V,20.32,Rockstar Games,Rockstar North,Play Station ,0.99,6.37,3.12,9.85
Call of Duty: Black Ops,12.67,Activision,Treyarch,Play Station ,0.48,6.01,1.78,4.4
FIFA 17,10.94,Electronic Arts,EA Canada,Play Station ,0.12,1.26,1.61,7.95
Grand Theft Auto V,19.39,Rockstar Games,Rockstar North,Play Station ,0.6,6.06,3.02,9.71
Call of Duty: Modern Warfare 2,10.61,Activision,Infinity Ward,Play Station ,0.38,4.99,1.59,3.66
Grand Theft Auto IV,10.57,Rockstar Games,Rockstar North,Play Station ,0.44,4.79,1.62,3.73
FIFA 18,11.8,EA Sports,EA Vancouver,Play Station ,0.15,1.27,1.73,8.64
Call of Duty: Ghosts,10.41,Activision,Infinity Ward,X box,0.04,6.76,0.98,2.64
Call of Duty: Ghosts,10.13,Activision,Infinity Ward,Play Station ,0.39,4.11,1.62,4.01
Grand Theft Auto IV,11.09,Rockstar Games,Rockstar North,X box,0.14,6.8,1.04,3.11
Call of Duty: Modern Warfare 3,14.82,Activision,Infinity Ward,X box,0.13,9.07,1.33,4.29
Call of Duty: Black Ops,14.74,Activision,Treyarch,X box,0.11,9.76,1.14,3.73
Red Dead Redemption 2,13.94,Rockstar Games,Rockstar Games,Play Station ,0.21,5.26,2.26,6.21
Call of Duty: Black Ops II,13.86,Activision,Treyarch,X box,0.07,8.27,1.2,4.32
Call of Duty: Black Ops II,13.8,Activision,Treyarch,Play Station ,0.65,4.99,2.28,5.88
Call of Duty: Modern Warfare 2,13.53,Activision,Infinity Ward,X box,0.08,8.54,1.28,3.63
Call of Duty: WWII,13.4,Activision,Sledgehammer Games,Play Station ,0.4,4.67,2.12,6.21
Call of Duty: Modern Warfare 3,13.35,Activision,Infinity Ward,Play Station ,0.49,5.54,1.54,5.78
Grand Theft Auto III,13.1,Rockstar Games,DMA Design,Play Station ,0.3,6.99,1.3,4.51
Grand Theft Auto V,8.72,Rockstar Games,Rockstar North,X box,0.01,4.7,0.76,3.25
Call of Duty: Infinite Warfare,8.48,Activision,Infinity Ward,Play Station ,0.19,3.11,1.36,3.83
Fallout 4,8.48,Bethesda Softworks,Bethesda Game Studios,Play Station ,0.27,2.91,1.34,3.97
FIFA 16,8.22,EA Sports,EA Canada,Play Station ,0.07,1.15,1.23,5.77
Star Wars Battlefront (2015),8.03,Electronic Arts,EA DICE,Play Station ,0.23,3.31,1.3,3.19
FIFA 13,8.01,EA Sports,EA Canada,Play Station ,0.13,1.07,1.68,5.13
Halo: Reach,9.97,Microsoft Game Studios,Bungie,X box,0.08,7.08,0.8,2.01
Halo 4,9.96,Microsoft Studios,343 Industries,X box,0.04,6.72,0.83,2.36
Call of Duty 4: Modern Warfare,9.41,Activision,Infinity Ward,X box,0.13,5.98,0.91,2.39
Call of Duty: Black Ops IIII,9.32,Activision,Treyarch,Play Station ,0.5,4.05,1.49,3.28
Grand Theft Auto: Liberty City Stories,7.72,Rockstar Games,Rockstar LeeNintendo,Play Station,0.24,2.9,1.74,2.83
FIFA 19,9.15,Electronic Arts,EA Sports,Play Station ,0.1,0.84,1.34,6.87
The Elder Scrolls V: Skyrim,8.88,Bethesda Softworks,Bethesda Game Studios,X box,0.1,5.1,0.85,2.83
Call of Duty: Advanced Warfare,7.53,Activision,Sledgehammer Games,Play Station ,0.14,2.84,1.22,3.34
Call of Duty: Black Ops 3,7.37,Activision,Treyarch,X box,0.02,4.63,0.68,2.04
Battlefield 3,7.35,Electronic Arts,Dice,X box,0.06,4.47,0.69,2.12
Battlefield 1,7.26,Electronic Arts,EA DICE,Play Station ,0.29,2.2,1.12,3.65
Battlefield 3,7.21,Electronic Arts,Dice,Play Station ,0.35,2.86,1.07,2.94
Need for Speed Underground,7.2,Electronic Arts,EA Black Box,Play Station ,0.08,3.27,1.02,2.83
Need for Speed Underground 2,6.9,Electronic Arts,EA Black Box,Play Station ,0.08,2.71,1.09,3.02
Medal of Honor: Frontline,6.83,Electronic Arts,EA Los Angeles,Play Station ,0.17,2.93,0.99,2.75
Uncharted 2: Among Thieves,6.74,Sony Computer Entertainment,Naughty Dog,Play Station ,0.21,3.28,1.02,2.22
